idx,word,meaning,link
1,마포하우징 조성,마포하우징'은 각종 위기로 집이 필요한 가구에 임시거소 및 공공임대주택을 지원하는 정책이다.,https://www.hankyung.com/politics/article/201907010763Y
2,성미산 명품생태공원 재구조화,"성미산 기능을 안산처럼 만들고, 생태를 최대한 복원하고 보호하는 노력을 기울여 명품자연생태공원으로 조성하는 것이다.<br>또한 김기덕 시의원은 인근 학생들에게 생태교육을 위한 현장생태학습 체험관 건립 계획을 밝히기도 했다.",https://sel.tgnews.co.kr/mobile/article.html?no=51888
3,주민센터 및 데이케어센터 복합공공청사 건립,"단순한 행정중심이 아니라 지역주민의 문화·복지·공동체에 초점을 맞춰 건립된 것이 특징이다.<br>동 행정공간뿐만 아니라 어린이집, 도서관, 데이케어센터 등 주민들의 행정 및 복지 수요를 한 곳에서 해결할 수 있도록 다양한 공간이 한 건물에 배치됐다.<br>
* 데이케어센터 : 노인주간보호센터의 다른 말이다.",http://www.seniorsinmun.com/news/articleView.html?idxno=9943
4,전선지중화,"주민이 이용하는 공원과 학교, 아파트 단지 등을 지나가는 고압 송전선로를 땅에 묻거나 설치하여 전자파 피해 등 송전설비 파손과 낙하로 인한 안전사고에 대한 주민이나 학생들의 우려를 해소하는 사업이다.",https://go.seoul.co.kr/news/newsView.php?id=20190823016018&wlog_tag3=naver
5,경의선숲길공원 물길 조성,산책길 동선을 따라 물길을 조성하여 도심 속 휴식처로 활용할 수 있도록 한다.,
6,스마트 여성안심 통합네트워크,"스마트 여성 안심 통합 네트워크 구축은 스마트시티 통합 플랫폼 기반 여성안심앱 출시, 전국 CCTV 확대, 전자발찌 위치추적시스템 등과 연계한 여성 안전서비스 강화, 범죄예상 환경설계 활성화 추진, 여성대상 범죄 예방 위한 범죄 취약개소 범죄예방시설 설치 확대 등을 통해 실현한다는 계획이다.",http://www.1conomynews.co.kr/news/articleView.html?idxno=11267
7,일자리체인지업,"고용의 사회적 정의를 실현하기 위한 방안이다.<br>
비정규직노동자 및 소규모기업 노동자 차별Zero화 추진, 노동자의 임금권리 보장 등이 포함되어 있다.",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002626980&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
8,그린뉴딜,"그린뉴딜이란 기후변화에 대응하는 동시에 고용도 촉진하는 정책이다.<br>신재생에너지 비중을 높이면서 고용과 투자를 늘리는 게 핵심이며, 도시·공간·생활 인프라를 환경친화적으로 전환하는 것을 목표로 한다.",http://www.korea.kr/news/visualNewsView.do?newsId=148873008
9,권력기관 정상화,"민주주의를 위해 공수처(고위공직자비리수사처) 신설, 국가정보원 개혁, 검경수사권 조정 등을 실현하려는 문재인 정부와 여당의 중심과제이다.","https://www.hankyung.com/politics/article/201801084707Y
"
10,햇볕정책,"화해와 포용을 기본태도로 하고 남북한 교류와 협력을 증대시켜 북한을 개혁ㆍ개방으로 유도한다는 대북정책을 말한다.<br>'대북 포용정책(engagement policy)'이나 '대북 화해 협력정책'도 같은 의미를 가진 용어이다.
","https://terms.naver.com/entry.nhn?docId=928989&cid=43667&categoryId=43667
"
