idx,word,meaning,link
1,용산 국제업무지구 사업,"용산국제업무지구는 용산차량사업소 부지와 서부이촌동 지역을 통합 개발하여 <br>용산역 일대를 국제업무기능을 갖춘 서울의 부도심으로 만들고자 한 사업으로, <br>2013년 3월 13일 시행사 드림허브의 부도로 백지화되었다.",https://ko.wikipedia.org/wiki/%EC%9A%A9%EC%82%B0%EA%B5%AD%EC%A0%9C%EC%97%85%EB%AC%B4%EC%A7%80%EA%B5%AC
2,허드슨 야드,"허드슨 야드 프로젝트는 미국 뉴욕 민간 부동산 개발 역사상 최대 프로젝트로, <br>250억 달러(약 28조원)를 들여 11만2000m2(약 3만4000평)의 부지에 <br>주거 단지, 쇼핑몰, 오피스, 호텔, 아트 센터, 문화 시설 등을 짓는 프로젝트이다.",https://www.noblesse.com/home/news/magazine/detail.php?no=8239
3,민관합동,민간과 정부가 모여 일이나 사업을 함께하여 나가는 행위이다.,https://dict.naver.com/search.nhn?query=%EB%AF%BC%EA%B4%80%ED%95%A9%EB%8F%99&ie=utf8
4,최고 고도지구,"도시계획법상 용도지구 중 고도지구의 하나로서, 건축물의 높이의 최고한도를 정해 놓은 지구. <br>건물 등의 일정한 층수나 높이를 정해 놓고 그 이상 높은 건물 등은 규제하는 것으로서, <br>공항근처의 토지이용 등이 일반적인 예이다.",https://terms.naver.com/entry.nhn?docId=1595806&cid=50301&categoryId=50301
5,용적률,용적률은 대지 내 건축물의 바닥면적을 모두 합친 면적(연면적)의 대지면적에 대한 백분율을 말한다.,https://terms.naver.com/entry.nhn?docId=1826434&cid=42151&categoryId=42151
6,주거환경 개선사업,도시저소득주민이 집단으로 거주하는 지역으로서 정비기반시설이 극히 열악하고 <br>노후·불량건축물이 과도하게 밀집한 지역에서 주거환경을 개선하기 위하여 시행하는 「<br>도시 및 주거환경정비법」에 의한 정비사업의 하나이다.,https://terms.naver.com/entry.nhn?docId=1826452&cid=42151&categoryId=42151
7,교육국제화특구,글로벌 경쟁 시대에 인재 양성을 위한 교육 여건 마련과 다양하고 효율적인 교육 프로그램을 통해 <br>교육 경쟁력을 높일 수 있도록 집중 육성하는 구역을 말한다.,https://terms.naver.com/entry.nhn?docId=2571214&cid=51930&categoryId=54184
8,문화관광 트라이앵글,"이태원, 경리단, 해방촌길 세 곳을 연결한 것이다.",
9,문화관광 벨트,관광할 수 있는 영역 혹은 관광지로 개발할 수 있는 영역을 일정하게 구분해 놓은 지역이다.,https://dict.naver.com/search.nhn?query=%EA%B4%80%EA%B4%91%EB%B2%A8%ED%8A%B8&ie=utf8
10,도시재생,"인구의 감소, 산업구조의 변화, 도시의 무분별한 확장, 주거환경의 노후화 등으로 <br>쇠퇴하는 도시를 지역역량의 강화, 새로운 기능의 도입·창출 및 지역자원의 활용을 통하여 <br>경제적·사회적·물리적·환경적으로 활성화시키는 것을 말한다.",https://terms.naver.com/entry.nhn?docId=1826480&cid=42151&categoryId=42151
