idx,word,meaning,link
1,공시가격,"국토교통부 장관이 조사·평가하여 공시한 토지의 단위면적(㎡)당 가격이다. 부동산 공시가격은 보유세·건보료 산정 등 60여 개 행정 목적의 기준이 된다.<br>시세 등을 고려해 공시가격을 현실화하면 공정하게 세금을 걷고, 필요한 분들이 복지혜택을 받을 수 있다.", https://terms.naver.com/entry.nhn?docId=1167798&cid=40942&categoryId=31819
2,부동산보유세,"부동산을 보유하고 있는 사람에게 부과되는 세금으로 재산세와 종합부동산세를 통칭한다. 재산세는 토지나 주택, 건물 등을 소유한 사람에게 지방자치단체가 부과하는 지방세이다.<br>종합부동산세는 일정한 가격 이상의 토지와 주택 소유자에게 별도의 누진세율을 적용하는 국세이다.",https://terms.naver.com/entry.nhn?docId=4351488&cid=43667&categoryId=43667
3,종합부동산세,"종합부동산세의 줄임말이다. 종합부동산세는 부동산 보유 정도에 따라 조세의 부담 비율을 달리하여 납세의 형평성을 제고한 국세로, 주택에 대한 종합부동산세와 토지에 대한 종합부동산세를 합한 금액이다.<br>부동산 투기수요를 억제하여 부동산 가격을 안정시키기 위한 목적으로 2005년부터 시행되었다.",https://terms.naver.com/entry.nhn?docId=930265&cid=43667&categoryId=43667
4,조정대상지역,"조정대상지역은 부동산시장 과열을 막기 위해 정부가 주택법에 근거해 지정하는 지역을 말한다.<br>주택가격 상승률이 물가상승률의 2배 이상이거나 청약경쟁률이 5 대 1 이상인 곳 등이 해당된다.<br>조정대상지역으로 지정되면 해당 지역은 주택담보대출 시 담보인정비율(LTV)이 60%, 총부채상환비율(DTI)이 50%로 제한된다.",https://terms.naver.com/entry.nhn?docId=5863197&cid=43667&categoryId=43667
5,종부세 부담 상한,종합부동산세 재산세액의 급격한 인상을 완화하기 위해 재산세액 증가율을 전년도 세액의 일정비율 이하로 제한하는 제도입니다.,https://www.gangnam.go.kr/board/B_000063/1053104/view.do?mid=FM0211&pgno=3&keyfield=bdm_main_title&deptField=BDM_DEPT_ID
6,양도소득세 중과세,"양도소득세란 부동산 등 자산의 양도에 따라 발생한 소득에 과세되는 세금입니다.<br>부동산을 양도한 경우 양도소득세 납세의무자는 양도일이 속하는 달의 말일부터 2개월 이내에 주소지 관할세무서에 양도소득세를 예정신고ㆍ납부하여야 합니다.<br>이때, 중과세란 일반적인 과세와 다르게 남들에 비해 부당하게 많은 부를 축적하는 것을 방지하는 목적으로 부과되는 것을 말한다.<br>1세대 3주택 이상 또는 고가주택 보유자가 이에 해당한다.",https://www.nts.go.kr/support/support_11.asp?cinfo_key=MINF5620100716141142
7,상한율 특례,재산세액의 급격한 인상을 완화하기 위해 재산세액 증가율을 전년도 세액의 일정비율 이하로 제한하는 제도입니다.<br>하지만 이마저도 세금 납부에 부담을 느끼는,
8,강남도심 재생지원,"아파트 노후화 문제를 해결하기 위한 강남 지역의 재건축, 재개발 촉진을 신속한 진행시키고, 지원하기 위해 마련된 사업이다.<br>강남에 주택 수요가 많은 만큼 종상향 및 용적률, 건폐율이 탄력적으로 상향될 수 있도록 특례조치를 신설하고, 사업성 확보와 충분한 주택공급이 이루어지도록 할 계획이며, 재건축?재개발 추진시 저리의 건설자금 융자를 받을 수 있도록 근거법령을 신설하고, 종합부동산세를 비롯한 부동산 관련 조세감면을 통해 재개발?재건축을 적극적으로 지원한다는 방침이다.",http://www.sisamagazine.co.kr
9,도시재생지역진흥지구,"도시재생이란 인구의 감소, 산업구조의 변화, 도시의 무분별한 확장, 주거환경의 노후화 등으로 쇠퇴하는 도시를 지역역량의 강화, 새로운 기능의 도입·창출 및 지역자원의 활용을 통하여 경제적·사회적·물리적·환경적으로 활성화시키는 것을 말한다.<br>도시재생을 위한 지정된 지역은<br>▷도로·공원 등 도시기반 정비 ▷건축물 리모델링<br>▷첨단산업단지 조성 ▷역사적 경관 보전·복원 등 다양한 방법을 통해 지역활성화의 중심지로 거듭나게 된다.",https://terms.naver.com/entry.nhn?docId=1826480&cid=42151&categoryId=42151
10,공공 와이파이,"공공와이파이는 정부, 지자체, 통신사 등에서 제공하는 무료 인터넷 서비스입니다.",https://www.wififree.kr/index.do
