idx,word,meaning,link
1,예비타당성 통과,"예비타당성조사(豫備妥當性調査)는 재정투자의 효율성을 높이기 위해<br> 대규모 개발 사업에 대해 우선순위와 적정 투자시기, 재원 조달방법 등 <br>타당성을 검증하도록 하는 제도이다.",https://ko.wikipedia.org/wiki/%EC%98%88%EB%B9%84%ED%83%80%EB%8B%B9%EC%84%B1%EC%A1%B0%EC%82%AC
2,클러스터화,"단순히 제조업 위주로 개발됐던 산업단지에 연구개발 및 기업지원 서비스 기능을 결합시켜, 입주기업의 경쟁력을 획기적으로 강화시키자는 것",http://www.dt.co.kr/contents.html?article_no=2005031102010557603002
3,아파트 품질검사제도,"건설공사의 품질과 안전을 확보함은 물론, 품질을 향상시키고 <br>예상되는 하자를 미연에 방지함으로써 건설 및 운영관리 비용 절감","http://www.molit.go.kr/USR/policyData/m_34681/dtl?id=214
"
4,행복학교,"행복학교란 '교육 공동체가 배움과 협력의 토대 위에 성찰, 소통, 공감을 지향하고 행복을 추구하는 미래형 학교'다.","https://www.gne.go.kr/index.gne?menuCd=DOM_000000139003001000&cpath=
"
5,과밀학급,학급당 학생수가 지나치게 많아 정상적인 수업활동을 전개하기 힘든 학급이다.,https://terms.naver.com/entry.nhn?docId=612371&cid=42126&categoryId=42126
6,복합문화체육시설,문화시설과 체육시설의 기능이 함께 공존하는 곳이다,
7,재능기부 커뮤니티센터,어르신이 가진 재능과 지식을 봉사와 나눔 활동을 통해 사회에 기부하는 활동을 하는 센터를 말한다.,"https://50plus.or.kr/nwc/social-contribution.do
"
8,저류지,"물을 저장하는 저류 시설의 일부로, 빗물을 저장하는 시설이나 장소를 말한다.",https://terms.naver.com/entry.nhn?docId=5953706&cid=40942&categoryId=32349
9,가로정비사업,가로주택정비사업을 말한다.<br>노후·불량건축물이 밀집한 가로구역에서 종전의 가로를 유지하면서 소규모로 주거환경을 개선하기 위하여 시행하는 「빈집 및 소규모주택 정비」에 의한 정비사업의 하나이다.,
10,수직형 리프트,수직형 휠체어리프트는 경사형이나 엘레베이터보다 경제적이고 효율적인 대체 승강설비로서<br>기존 건물의 구조변경이나 별도의 건축공사없이 <br>최소의 설치공간을 이용하여 노약자나 장애인들이 자유롭게 건물 내외부출입이 가능하도록 설계 및 제작된다.,https://kr.shinwoonet.com/page/?M2_IDX=7736
11,첨단복합청사,"노후 되고 저이용 되고 있는 공공시설 부지에 공공청사, 생활SOC, 행복주택 등을 복합적으로 신축하는 사업이다.<br>지자체는 공공시설 건축비를 절감하면서 지역주민에게는 삶의 질 만족도 향상을, <br>특히 젊은 세대에게는 주거안정 실현을 함께 도모하는 사업이다.",https://www.asiae.co.kr/article/2020022708222127624
12,저층주거지 주거환경개선사업,저층 주거지역에서 정비기반시설을 확충하고 주민공동체 활성화 등을 추진하는 사업이다.,https://biz.chosun.com/site/data/html_dir/2019/09/03/2019090301419.html
13,생애주기 맞춤형 사회안전망,"아동ㆍ청소년, 성인, 노년기에 대한 각각의 맞춤형 사회보장 정책이 마련되는 것이다.",http://news.heraldcorp.com/view.php?ud=20140805000222&md=20140808005819_BL
