idx,word,meaning,link
1,장애인연금 수급권,장애인연금법'은 장애로 인하여 생활이 어려운 중증장애인에게 장애인연금을 지급함으로써 중증장애인의 생활 안정 지원과 복지 증진 및 사회통합을 도모하는 데 이바지함을 목적으로 한다.(장애인연금법 제1조)<br>'장애인연금 수급권'은 이 법에 따라 장애인연금을 받을 수 있는 자격을 말한다.(장애인 연금법 제2조),http://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%9E%A5%EC%95%A0%EC%9D%B8%EC%97%B0%EA%B8%88%EB%B2%95
2,준공업지역,"준공업지역(準工業地域) 도시계획구역중 하나인 준공업지역은 공업의 편익증진을 위하여 필요한 공업지역중 경공업 기타 공업을 수용하되, 주거ㆍ상업ㆍ업무기능의 보완이 필요한 지역을 의미한다(도시계획법시행령 제29조제3호)",http://pheo.co.kr/?mid=pheodic&page=195&document_srl=32098
3,서부간선도로 지하화,"서부간선도로 지하화는 성산대교 남단(영등포구 양평동)부터 서해안고속도로와 연결되는 금천IC(금천구 독산동)까지 왕복 4차로, 연장 10.33km 터널을 건설하는 사업이다.<br>시는 서부간선지하도로가 완공되면 하루 5만대의 차량이 지하로 분산돼 지상도로의 차량정체가 해소될 것으로 전망, 자동차 전용도로인 지상도로를 일반도로로 변경했다.",https://www.metroseoul.co.kr/article/2019013100149
4,수도권 유아교육중심지구 육성,"국공립 단설유치원을 설립하여 지역 내 유아들을 대상으로 공교육의 기회를 확대하고, 학부모들이 희망하는 국공립유치원의 취원율을 늘리겠다는 계획이다.<br>지역 유아교육 확대와 지역 활성화를 통해 수도권 유아교육 중심지구로 육성하겠다는 약속이다.",http://www.gynews.net/index.do?menu_id=00000012&menu_link=/front/news/icmsNews/view.do&articleId=ARTICLE_00003438
5,방과후 다함께돌봄센터,"자치단체와 지역사회가 협력해 초등학생에게 상시·일시 돌봄, 등·하원 지원 등 지역 맞춤형 돌봄서비스를 제공하는 사업이다.<br>기존 공간과 지역공동체의 자원을 활용해 인프라를 구축하고 상황에 맞는 서비스를 제공해 필요한 때 가까운 곳에서 친인척 수준의 돌봄 서비스를 제공 받을 수 있도록 한다.",https://www.afterschool.go.kr/intro/care/careInfo1s3.do
6,공공직장어린이집,기혼여성 근로자의 육아부담 해소를 통한 지속적 취업활동 보장과 저소득 근로자의 보육비 부담 경감으로 생활안정에 기여하는 정책이다.,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3809
7,전선지중화,"전력이나 전기 통신을 제공하는 오버헤드 케이블을 지하 케이블로 대체하는 작업이다.<br>이는 전선이 일반적으로 강풍의 뇌우나 강설, 빙설 폭풍 중에 발생될 수 있는 정전에 덜 취약하게끔 만들기 위해, 또 화재를 예방하기 위해 보통 수행된다.<br>지중화를 통한 그 밖의 장점으로는 전선이 없어 주변 미관이 개선된다는 것이다.<br>지중화는 송전의 초기 비용을 증가킬 수 있으나 케이블의 수명 대비 운영비를 줄일 수 있다.",https://ko.wikipedia.org/wiki/%EC%A0%84%EC%84%A0%EB%A5%98_%EC%A7%80%EC%A4%91%ED%99%94
8,신혼희망타운,"육아·보육을 비롯한 신혼부부 수요를 반영하여 건설하고, 전량을신혼부부에게 공급하는 신혼부부 특화형 공공주택이다.",https://youth.seoul.go.kr/site/main/content/newlyweds_town
9,"어울림플라자, 주민문화복합시설로 조성","옛 한국정보화진흥원 건물을 장애인과 비장애인이 함께 어울려 지내며 함께 쓰는 복합 문화,복지 공간으로 만들겠다는 공약이다.",https://news.joins.com/article/23839330
10,수도권 유아교육중심지구 육성,"국공립 단설유치원을 설립하여 지역 내 유아들을 대상으로 공교육의 기회를 확대하고, 학부모들이 희망하는 국공립유치원의 취원율을 늘리겠다는 계획이다.<br>지역 유아교육 확대와 지역 활성화를 통해 수도권 유아교육 중심지구로 육성하겠다는 약속이다.",http://www.gynews.net/index.do?menu_id=00000012&menu_link=/front/news/icmsNews/view.do&articleId=ARTICLE_00003438
