idx,word,meaning,link
1,종부세,"종합부동산세의 줄임말이다. <br>종합부동산세는 부동산 보유 정도에 따라 조세의 부담 비율을 달리하여 납세의 형평성을 제고한 국세로,<br> 주택에 대한 종합부동산세와 토지에 대한 종합부동산세를 합한 금액이다. <br>부동산 투기수요를 억제하여 부동산 가격을 안정시키기 위한 목적으로 2005년부터 시행되었다.",https://terms.naver.com/entry.nhn?docId=930265&cid=43667&categoryId=43667
2,공시가,"국토교통부 장관이 조사·평가하여 공시한 토지의 단위면적(㎡)당 가격이다.<br> 부동산 공시가격은 보유세·건보료 산정 등 60여 개 행정 목적의 기준이 된다. <br>시세 등을 고려해 공시가격을 현실화하면 공정하게 세금을 걷고, 필요한 분들이 복지혜택을 받을 수 있다.",https://terms.naver.com/entry.nhn?docId=1167798&cid=40942&categoryId=31819
3,세부담 상한,재산세액의 급격한 인상을 완화하기 위해 재산세액 증가율을 전년도 세액의 일정비율 이하로 제한하는 제도입니다.,https://www.gangnam.go.kr/board/B_000063/1053104/view.do?mid=FM0211&pgno=3&keyfield=bdm_main_title&deptField=BDM_DEPT_ID
4,공정시장가액비율,"공정시장가액은 지난 2009년 정부가 공시가격 대신 <br>종합부동산세 산정을 위해 도입한 과세표준 기준으로 <br>부동산 가격 변동, 지방재정 여건 등에 따라 탄력적으로 조정한다. <br>보통 공시가격의 80% 수준에서 정해져 <br>납세자의 세부담을 덜어주는 역할을 하는 공정시장가액 비율은 100%(2022년)가 될 때까지 매년 5%씩 상향될 예정이다.",http://www.housingherald.co.kr)
5,조정지역대상,"조정대상지역은 부동산시장 과열을 막기 위해 정부가 주택법에 근거해 지정하는 지역을 말한다.<br> 주택가격 상승률이 물가상승률의 2배 이상이거나 청약경쟁률이 5 대 1 이상인 곳 등이 해당된다.<br>조정대상지역으로 지정되면 해당 지역은 주택담보대출 시 담보인정비율(LTV)이 60%, 총부채상환비율(DTI)이 50%로 제한된다.",https://terms.naver.com/entry.nhn?docId=5863197&cid=43667&categoryId=43667
6,지구단위계획,도시계획을 수립하는 지역 가운데 일부지역의 토지이용을 보다 합리화하고 <br>그 기능을 증진시키며 미관의 개선 및 양호한 환경의 확보 등 <br>당해 지역을 체계적·계획적으로 관리하기 위하여 수립하는 도시관리계획을 말한다.,https://terms.naver.com/entry.nhn?docId=1826457&cid=42151&categoryId=42151
7,종상향,"세분화된 용도지역에 대해 1ㆍ2종 일반주거지역을 2ㆍ3종으로 높이는 것을 말한다. <br>종(種)이 상향됨에 따라 건축물의 용적률, 건폐율, 층수 등을 상향시켜 사업성을 개선시킬 수 있다.",https://terms.naver.com/entry.nhn?docId=930186&cid=43667&categoryId=43667
8,종세분화,무분별한 고층 개발로 인한 도시환경과 자연경관 파괴를 막기 위해 <br>상업이나 특수업무지구가 아닌 일반주거지역을 1ㆍ2ㆍ3종(種)으로 나누고 종별로 용적률과 층수를 달리 규정하는 것입니다.,https://terms.naver.com/entry.nhn?docId=71432&cid=43667&categoryId=43667
9,재건축 초과이익 분담금,재건축 사업으로 정상주택 가격 상승분을 넘어서는 이익이 생길 경우 국가가 조합원들한테 환수하는 돈이다. <br>‘재건축초과이익 환수에 관한 법률’에 따라 국토해양부 장관이 부과·징수한다.<br> 조합원 1인당 평균 이익이 3000만원을 넘을 경우 초과 금액의 10~50%를 내야 한다.,https://terms.naver.com/entry.nhn?docId=2067220&cid=50305&categoryId=50305
10,MICE산업,"마이스는 부가가치가 높은 복합적인 전시 산업을 의미하는 것으로, <br>전시 이벤트를 언급할 때 자주 등장하는 용어다. <br>마이스(MICE)는 회의(meeting), 포상 관광 또는 인센티브 여행(incentive tour, incentive travel, incentives), 컨벤션(convention), 전시회(exhibition)의 4개 비즈니스 분야를 지칭한다.",https://terms.naver.com/entry.nhn?docId=3556103&cid=42219&categoryId=58628
11,과밀학급,학급당 학생수가 지나치게 많아 정상적인 수업활동을 전개하기 힘든 학급을 말한다.,https://terms.naver.com/entry.nhn?docId=612371&cid=42126&categoryId=42126
