idx,word,meaning,link
1,공수처법,"공수처란 ‘고위공직자비리수사처’를 줄여서 부르는 말입니다.<br>고위공직자들의 범죄 행위를 수사하고 죄를 따져 물을 수 있는 특별한 기관이다.<br>공수처법을 통해 고위공직자의 부정부패와 권한 남용을 엄하게 다스릴 수 있습니다.<br>공수처는 공직자부터 대통령의 친인척까지 수사할 수 있고, 검찰이나 대통령 직속 기관과는 분리된 독립적인 기관이다.",https://news.sbs.co.kr/news/endPage.do?news_id=N1003776225&plink=COPYPASTE&cooper=SBSNEWSEND
2,주택담보대출,"주택담보대출은 집을 담보로 자금을 빌리는 금융거래로, 대출가능금액은 집의 가치에 따라 달라진다.<br>신용대출보다는 대출 절차는 복잡하지만 주택담보 처분 가능성을 전제로 대출 이자율이 낮은 것이 특징이다.",https://blog.ibk.co.kr/2060
3,아파트 청약제도,청약관련 예금을 통하여 일정한 요건을 갖춘 자에게 동시분양되는 아파트에 청약할 수 있는 자격을 주는 제도이다.,https://terms.naver.com/entry.nhn?docId=2459016&cid=46673&categoryId=46673
4,부동산 세제,"부동산에 대하여 부과하는 조세란 뜻으로, 부동산 정책의 중요한 도구로 사용되어왔다.<br>부동산정책이란 원칙적으로 공급이 한정되어있는 부동산에 대한 투기를 방지하기 위한 정책을 말한다.",https://m.joseilbo.com/news/view.htm?newsid=401430
5,부동산 과세형평성,부동산 자산이 많을수록 더 많은 세금을 내도록 하는 것이다.,
6,공시가격,"국토교통부 장관이 조사·평가하여 공시한 토지의 단위면적(㎡)당 가격이다. 부동산 공시가격은 보유세·건보료 산정 등 60여 개 행정 목적의 기준이 된다.<br>시세 등을 고려해 공시가격을 현실화하면 공정하게 세금을 걷고, 필요한 분들이 복지혜택을 받을 수 있다.",https://terms.naver.com/entry.nhn?docId=1167798&cid=40942&categoryId=31819
7,간이과세기준,영세사업자가 부가가치세 납부.신고를 간단히 할 수 있도록 만든 제도로 세부담을 줄여주는 효과도 있다.,https://terms.naver.com/entry.nhn?docId=65693&cid=43667&categoryId=43667
8,풍납토성 복원사업,"풍납동 토성의 서쪽 성벽과 해자(적의 침입을 막기 위해 성 밖을 둘러 판 곳)를 중심으로 한다.<br>서성벽이 있는 삼표산업 풍납레미콘공장은 2만㎡ 규모의 역사공원으로 조성할 계획이다.<br>송파구는 풍납공장에 있는 서성벽을 복원하고, 산책로 등 주민편의시설을 갖춰 마을 경관과 주민생활 편의성을 개선할 예정이다.",https://www.hankyung.com/society/article/2020060232541
9,지구단위계획,도시계획을 수립하는 지역 가운데 일부지역의 토지이용을 보다 합리화하고 그 기능을 증진시키며 미관의 개선 및 양호한 환경의 확보 등 당해 지역을 체계적·계획적으로 관리하기 위하여 수립하는 도시관리계획을 말한다.,https://terms.naver.com/entry.nhn?docId=1826457&cid=42151&categoryId=42151
10,민관 거버넌스,민관 거버넌스는 민간과 정부가 함께 모여 사회 속공통의 문제해결을 위한 사회적 조정 방법이다.,
11,지중화사업,"공중에 거미줄처럼 얽힌 전선을 지하에 묻거나 설치하고, 전봇대를 없애는 도시 사업이다.",http://mediahub.seoul.go.kr/archives/1269163
12,관광벨트,관광할 수 있는 영역 혹은 관광지로 개발할 수 있는 영역을 일정하게 구분해 놓은 지역이다.,https://dict.naver.com/search.nhn?query=%EA%B4%80%EA%B4%91%EB%B2%A8%ED%8A%B8&ie=utf8
13,테스트베드,"‘시험무대’, ‘시험장’, ‘시험공간’, ‘시험시스템’이라는 뜻을 가진 용어로, 새로운 기술·제품·서비스의 성능 및 효과를 시험할 수 있는 환경 혹은 시스템, 설비를 말한다.",https://terms.naver.com/entry.nhn?docId=1221303&cid=40942&categoryId=32828
14,창업인큐베이팅,"창업보육이란 뜻으로, 참신한 아이디어와 뛰어난 기술력을 가진 예비창업자 또는 창업초기 기업에게 사업공간 제공, 경영 기술지도와 정보제공 등으로 이들이 보다 안정적인 창업을 할 수 있도록 하는 것이다.",https://terms.naver.com/entry.nhn?docId=299194&cid=42103&categoryId=42103
15,전선 지중화,"전선을 지하에 묻거나 설치하는 사업으로, 일반적으로 강풍의 뇌우나 강설, 빙설 폭풍 중에 발생될 수 있는 정전에 덜 취약하게끔 만들기 위해, 또 화재를 예방하기 위해 보통 수행된다.",https://ko.wikipedia.org/wiki/%EC%A0%84%EC%84%A0%EB%A5%98_%EC%A7%80%EC%A4%91%ED%99%94
