idx,word,meaning,link
1,신산업R&D,새로운 주력 산업을 키우기 위한 연구 개발을 말한다.,
2,스마트 창업밸리,"벤처,스타트업 등 혁신기업의 창업과 성장을 종합적으로 지원하기 위해 마련된 공간이다.",
3,미세먼지 계절관리제,미세먼지 계절관리제는 미세먼지 고농도가 주로 발생하는 겨울·봄철 4개월(12~3월) 간 일회성으로 시행하던 ‘비상저감조치’를 지속하는 정책이다. <br>배출가스 5등급 차량의 운행을 제한하고 공공차량 2부제를 실시하는 게 골자다.,https://www.donga.com/news/Society/article/all/20200324/100318277/1
4,폐기능 검사,미세먼지로 인한 국민 불안을 경감하고 국민건강 보호를 위해 미세먼지 관련 질환의 예방과 치료를 위한 건강보험 적용 방안으로 <br>건강보험공단은 미세먼지로 인한 기저질환의 예방과 치료 등 국민건강을 보호하기 위해 건강보험 적용 등 <br>지원 방안과 건강보험 급여 적용에 대한 타당성 검토 및 재정을 마련하겠다는 계획이다.,https://medifonews.com/mobile/article.html?no=152226
5,고령자복지주택,"고령자 복지주택은 65세 이상 저소득 어르신들을 위해 안전손잡이, 높이조절 세면대 등 무장애(barrier-free) 특화시설을 갖춘 주택이다. <br>건강·여가시설을 갖춘 사회복지시설을 함께 공급해 여가생활을 즐기며 편안한 노년을 보낼 수 있다.",https://m.newspim.com/news/view/20200401000102
6,온종일 돌봄 체계,"온종일 돌봄 체계는 학교를 마친 아이들에게 ‘언제, 어디서나 원하는 시간에’ 돌봄을 제공하는 서비스다. <br>방과 후에 지역주민이 접근하기 편한 학교와 지역사회 내 공공시설에서 아이들을 돌보고 흥미·적성·진로를 고려해 다양한 방과 후 프로그램을 제공한다. <br>학교와 지역사회가 연계해 수요자(아동)중심의 돌봄 서비스를 제공해 빈틈없는 돌봄 체계를 완성하는 공공성 강화 정책이다.",http://www.korea.kr/special/policyCurationView.do?newsId=148863867
7,청년기본법,"청년이 인간으로서의 존엄과 가치를 실현하고 행복한 삶을 영위할 수 있는 권리를 보장받으며 <br>건전한 민주시민으로서의 책무를 다할 수 있도록 하는 것을 기본이념으로 한다.<br>- 제1항의 기본이념을 구현하기 위한 장기적·종합적 청년정책을 추진할 때에는 다음 각 호의 사항을 고려하여야 한다.<br>1. 청년 개개인의 자질 향상과 능동적 삶의 실현<br>2. 청년의 정치·경제·사회·문화 등 모든 분야에 대한 참여 촉진<br>3. 교육, 고용, 직업훈련 등에서 청년의 평등한 기회 제공<br>4. 청년이 성장할 수 있는 사회적·경제적 환경 마련<br>(참고=국가법령정보센터, ‘청년기본법’)",http://www.korea.kr/news/reporterView.do?newsId=148875470
8,상권르네상스 프로젝트,"하나의 상권을 형성하고 있는 시장·상점가·지하상가·상업지역 등을 하나로 묶어 지역 상권을 활성화 시키고, <br>이를 통해 전통시장 및 상점가의 경쟁력을 제고하기 위한 제반 사업이다.",http://www.sbiz.or.kr/sijangtong/nation/trdarRena/trdarRenaIntro.do?menu_id=030100
9,중증장애인,"장애인 중 근로능력이 현저히 상실된 사람으로「장애인복지법 시행령」제2조에 따른 1~2급 장애인과 <br>3급에 해당하는 뇌병변, 시각, 지적, 자폐성, 정신, 심장, 호흡기, 뇌전증장애인 및 팔에 장애가 있는 지체장애인을 뜻합니다.",https://glaw.scourt.go.kr/wsjo/lawod/sjo192.do?contId=2231640&jomunNo=4&jomunGajiNo=0
10,전선지중화 사업,"주민이 이용하는 공원과 학교, 아파트 단지 등을 지나가는 고압 송전선로를 땅에 묻거나 설치하여 <br>전자파 피해 등 송전설비 파손과 낙하로 인한 안전사고에 대한 주민이나 학생들의 우려를 해소하는 사업이다.",https://go.seoul.co.kr/news/newsView.php?id=20190823016018&wlog_tag3=naver
11,띠녹지 조성사업,"띠녹지란 가로녹지량 증진과 아름다운 가로경관 조성을 위하여 폭이 넓은 보도에 있는 가로수 사이에 키작은 나무나 꽃을 심어 만든 공간을 말한다.<br>띠녹지 조성사업’은 일자리창출사업으로 추진하여, 실업대책 해소와 도심지를 녹지로 연결해 <br>시민들에게 쾌적한 도시환경을 제공하여 공간의질, 삶의 질 향상에 기여한다.",http://www.shinailbo.co.kr/news/articleView.html?idxno=200575
12,도시재생사업,"신도시 위주의 도시 확장에 따라 발생하는 도심 공동화를 극복하고 침체된 도시 경제를 개선하기 위해 <br>물리·환경적으로뿐만 아니라 산업·경제적, 사회·문화적으로 도시를 다시 활성화하는 것이다.",https://terms.naver.com/entry.nhn?docId=2067768&cid=42107&categoryId=42107
13,용적률,"전체 대지면적에 대한 건물 연면적의 비율을 말한다. <br>용적률이 높을수록 건축할 수 있는 연면적이 많아져 건축밀도가 높아지므로, <br>적정 주거환경을 보장하기 위하여 용적률의 상한선을 지정한다.",https://ko.wikipedia.org/wiki/%EC%9A%A9%EC%A0%81%EB%A5%A0
14,종상향,"세분화된 용도지역에 대해 1ㆍ2종 일반주거지역을 2ㆍ3종으로 높이는 것을 말한다.<br> 종(種)이 상향됨에 따라 건축물의 용적률, 건폐율, 층수 등을 상향시켜 사업성을 개선시킬 수 있다.",https://terms.naver.com/entry.nhn?docId=930186&cid=43667&categoryId=43667
