idx,word,meaning,link
1,ICT 보안 클러스터,현 중앙전파관리소(이하 중관소) 부지를 첨단 ICT혁신성장 기지로 개발하는 내용의 ‘송파 ICT보안 클러스터’ 조성 계획이다.,https://www.boannews.com/media/view.asp?idx=70995&kind=0
2,위례선 트램,"례선 트램 건설 사업은 위례신도시 광역교통개선대책에 따라 지역주민의 교통 불편 해소를 위해 도시철도 마천역(5호선)에서 복정역(8호선), 가칭 우남역(8호선)을 잇는 위례신도시 내부 신교통수단을 건설한다.",http://www.pmnews.co.kr/101587
3,민자적격성,"""민자적격성조사""란 민간투자법시행령 제7조제5항에 따라 민간제안사업에 대하여 수요 추정의 적정성, 재정사업으로 추진할 경우와 비교한 비용·편익 분석 등을 실시하는 것을 말한다.",http://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2000000073519
4,반다비체육센터 신축,"2018 평창동계패럴림픽 유산 창출을 위한 ‘장애인 생활체육 활성화 방안으로 건립되는 체육센터이다.<br>문체부 정책 담당자는 “일상에서 체육을 즐길 수 있는 ‘반다비체육센터’는 시·군·구 단위로 건립되며 장애인들이 우선적으로 이용하되, 비장애인들도 함께 활용하는 복합문화체육시설이 될 것이다”라고 밝혔다.",https://www.mdon.co.kr/news/article.html?no=28153
5,스마트시티,스마트시티(Smart city) 또는 스마트 도시는 다양한 유형의 전자 데이터 수집 센서를 사용하여 자산과 자원을 효율적으로 관리하는 데 필요한 정보를 제공하는 도시 지역이다.,https://ko.wikipedia.org/wiki/%EC%8A%A4%EB%A7%88%ED%8A%B8_%EC%8B%9C%ED%8B%B0
6,전선지중화사업,"전력이나 전기 통신을 제공하는 오버헤드 케이블을 지하 케이블로 대체하는 작업이다.<br>이는 전선이 일반적으로 강풍의 뇌우나 강설, 빙설 폭풍 중에 발생될 수 있는 정전에 덜 취약하게끔 만들기 위해, 또 화재를 예방하기 위해 보통 수행된다.<br>지중화를 통한 그 밖의 장점으로는 전선이 없어 주변 미관이 개선된다는 것이다.<br>지중화는 송전의 초기 비용을 증가킬 수 있으나 케이블의 수명 대비 운영비를 줄일 수 있다.",https://ko.wikipedia.org/wiki/%EC%A0%84%EC%84%A0%EB%A5%98_%EC%A7%80%EC%A4%91%ED%99%94
7,자족기능,자급자족이 가능한 능력을 말한다.,
8,스페이스살림,스페이스 살림은 여성 스타트업의 창업지원 공간입니다.<br>새로운 일과 삶의 방식을 디자인하는 여성 스타트업의 도전과 성장을 지원한다.,http://spacesallim.or.kr/spacesallim/main/index.do
9,인생이모작,"""인생이모작""이란 은퇴 전후에 새로운 인생을 위한 준비 및 성공적인 노후생활을 위한 모든 활동을 말한다.","http://www.law.go.kr/%EC%9E%90%EC%B9%98%EB%B2%95%EA%B7%9C/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9E%A5%EB%85%84%EC%B8%B5%EC%9D%B8%EC%83%9D%EC%9D%B4%EB%AA%A8%EC%9E%91%EC%A7%80%EC%9B%90%EC%97%90%EA%B4%80%ED%95%9C%EC%A1%B0%EB%A1%80/(06167,20160324)"
10,장지차고지 입체화,"서울 송파구와 강동구 버스차고지가 공공주택, 생활SOC, 공원이 결합된 콤팩트시티로 거듭난다.<br>콤팩트시티란 저이용 공공부지를 개발해 주거·여가·일자리가 집약된 도시공간 구조로 만드는 도시정책 모델이다.<br>이 사업의 일환으로 야외 차고지의 문제점을 해결하기 위해 시설 현대화를 추진하고 있다.",https://www.metroseoul.co.kr/article/2019111100113
11,과밀학급,"우선'과밀학급'문제를 살펴보면, 7?20 교육여건개선사업에서는 35명을 학급당 학생수의 적정 수준으로 보고 학급당 학생수가 36명 이상인 학급을 과밀학급으로 정의하였다.",한국교육개발원 교육통계서비스<과밀학급 및 과대학교>
